PEPMASS,BOI_G10_74_1_4271,BOI_G1_65_1_4261,BOI_G2_66_1_4262,BOI_G3_67_1_4263,BOI_G4_68_1_4264,BOI_G5_69_1_4265,BOI_G6_70_1_4267,BOI_G7_71_1_4268,BOI_G8_72_1_4269,BOI_G9_73_1_4270,CHA_G10_84_1_4283,CHA_G1_75_1_4273,CHA_G2_76_1_4274,CHA_G3_77_1_4275,CHA_G4_78_1_4276,CHA_G5_79_1_4277,CHA_G6_80_1_4279,CHA_G7_81_1_4280,CHA_G8_82_1_4281,CHA_G9_83_1_4282,CHA_P10_10_1_4194,CHA_P1_1_1_4184,CHA_P2_2_1_4185,CHA_P3_3_1_4186,CHA_P4_4_1_4187,CHA_P5_5_1_4188,CHA_P6_6_1_4190,CHA_P7_7_1_4191,CHA_P8_8_1_4192,CHA_P9_9_1_4193,CRJ_G10_104_1_4307,CRJ_G1_95_1_4297,CRJ_G2_96_1_4298,CRJ_G3_97_1_4299,CRJ_G4_98_1_4300,CRJ_G5_99_1_4301,CRJ_G6_100_1_4303,CRJ_G7_101_1_4304,CRJ_G8_102_1_4305,CRJ_G9_103_1_4306,CRJ_P10_40_1_4230,CRJ_P1_31_1_4220,CRJ_P2_32_1_4221,CRJ_P3_33_1_4222,CRJ_P4_34_1_4223,CRJ_P5_35_1_4224,CRJ_P6_36_1_4226,CRJ_P7_37_1_4227,CRJ_P8_38_1_4228,CRJ_P9_39_1_4229,CTL_G10_30_1_4349,CTL_G1_21_1_4339,CTL_G2_22_1_4340,CTL_G3_23_1_4341,CTL_G4_24_1_4342,CTL_G5_25_1_4343,CTL_G6_26_1_4345,CTL_G7_27_1_4346,CTL_G8_28_1_4347,CTL_G9_29_1_4348,CTL_P10_30_1_4218,CTL_P1_21_1_4208,CTL_P2_22_1_4209,CTL_P3_23_1_4210,CTL_P4_24_1_4211,CTL_P5_25_1_4212,CTL_P6_26_1_4214,CTL_P7_27_1_4215,CTL_P8_28_1_4216,CTL_P9_29_1_4217,JAB_G10_40_1_4361,JAB_G1_31_1_4351,JAB_G2_32_1_4352,JAB_G3_33_1_4353,JAB_G4_34_1_4354,JAB_G5_35_1_4355,JAB_G6_36_1_4357,JAB_G7_37_1_4358,JAB_G8_38_1_4359,JAB_G9_39_1_4360,GDP_P10_20_1_4206,GDP_P1_11_1_4196,GDP_P2_12_1_4197,GDP_P3_13_1_4198,GDP_P4_14_1_4199,GDP_P5_15_1_4200,GDP_P6_16_1_4202,GDP_P7_17_1_4203,GDP_P8_18_1_4204,GDP_P9_19_1_4205,GDP_G10_50_1_4373,GDP_G1_41_1_4363,GDP_G2_42_1_4364,GDP_G3_43_1_4365,GDP_G4_44_1_4366,GDP_G5_45_1_4367,GDP_G6_46_1_4369,GDP_G7_47_1_4370,GDP_G8_48_1_4371,GDP_G9_49_1_4372,JAB_P1_61_1_4256,JAB_P2_62_1_4257,JAB_P3_63_1_4258,JAB_P4_64_1_4259,TRI_G10_10_1_4325,TRI_G1_1_1_4315,TRI_G2_2_1_4316,TRI_G3_3_1_4317,TRI_G4_4_1_4318,TRI_G5_5_1_4319,TRI_G6_6_1_4321,TRI_G7_7_1_4322,TRI_G8_8_1_4323,TRI_G9_9_1_4324,TRI_P10_50_1_4242,TRI_P1_41_1_4232,TRI_P2_42_1_4233,TRI_P3_43_1_4234,TRI_P4_44_1_4235,TRI_P5_45_1_4236,TRI_P6_46_1_4238,TRI_P7_47_1_4239,TRI_P8_48_1_4240,TRI_P9_49_1_4241,VAI_G10_94_1_4295,VAI_G1_85_1_4285,VAI_G2_86_1_4286,VAI_G3_87_1_4287,VAI_G4_88_1_4288,VAI_G5_89_1_4289,VAI_G6_90_1_4291,VAI_G7_91_1_4292,VAI_G8_92_1_4293,VAI_G9_93_1_4294,VER_G10_20_1_4337,VER_G1_11_1_4327,VER_G2_12_1_4328,VER_G3_13_1_4329,VER_G4_14_1_4330,VER_G5_15_1_4331,VER_G6_16_1_4333,VER_G7_17_1_4334,VER_G8_18_1_4335,VER_G9_19_1_4336,VER_P10_60_1_4254,VER_P1_51_1_4244,VER_P2_52_1_4245,VER_P3_53_1_4246,VER_P4_54_1_4247,VER_P5_55_1_4248,VER_P6_56_1_4250,VER_P7_57_1_4251,VER_P8_58_1_4252,VER_P9_59_1_4253
Species,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Perca,Perca,Perca,Perca,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Lepomis,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca,Perca
Lake,BOI,BOI,BOI,BOI,BOI,BOI,BOI,BOI,BOI,BOI,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CRJ,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,CTL,JAB,JAB,JAB,JAB,JAB,JAB,JAB,JAB,JAB,JAB,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,JAB,JAB,JAB,JAB,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,TRI,VAI,VAI,VAI,VAI,VAI,VAI,VAI,VAI,VAI,VAI,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER
226.97683,5692,6592,5832,5036,6606,6480,6482,6016,5974,6208,4292,5774,5004,5576,5296,5560,4944,4496,4136,4390,7408,7352,7694,8490,6448,6638,7682,7342,7734,6866,6166,5080,6098,5646,5648,5156,6106,5726,6132,7026,7082,6942,5376,6850,6702,6600,4820,5188,6134,6832,4712,6620,5224,5672,5280,5188,0,4622,5012,4778,4968,6768,5962,6732,6776,4518,6296,6046,6126,6804,5770,6342,6186,6218,4870,4568,4820,5948,6844,6504,5780,7120,5854,7274,7970,5714,7840,8736,6700,7018,5526,4918,4284,4936,5636,5910,5396,6274,5654,4994,6912,7376,6592,5998,6478,6996,7648,7654,8094,6620,5614,5430,6738,6868,6268,6506,5532,6608,6178,6944,6278,5214,6280,6052,4900,5056,4704,5746,5528,4768,5672,4880,4712,5122,5650,5308,6316,6422,5990,6738,6250,5270,6170,5880,6680,6460,5732,6152,6494,6574,6110,6406,5492,5768
198.98197,5636,4990,5066,6268,6256,5088,5852,5282,5538,4538,4772,4454,4690,4740,5318,4266,5168,4696,4248,4682,5736,7744,6752,7418,6018,6940,7954,6210,5058,6158,4996,4826,5044,5266,5554,4862,3388,4876,5216,5242,5956,6248,4750,5968,5382,5482,5610,6254,5864,5842,6004,5142,5730,4524,5124,4220,4806,4100,4338,4734,5152,5934,6796,5454,6560,5652,6558,5418,4948,4496,5382,5176,4128,5788,4578,5138,4232,5468,5148,5576,5996,6822,6714,6644,6294,6350,6452,6322,6428,6436,4924,5004,5540,4920,5258,3234,4946,5144,5056,5248,5696,4938,4854,6552,4960,6640,6758,6776,5856,5414,5446,5492,5394,5744,5346,5444,6362,5612,3856,6378,5626,6408,5756,5670,5050,5000,5430,5244,5464,4986,4626,5140,5768,4004,4902,5692,4874,5604,5982,5152,5970,5358,6130,5188,5126,6060,5612,5354,5540,5152,5748,6308,5608,5396
201.61984,4312,0,0,13414,7836,0,4386,0,5564,8942,0,16704,8806,15232,4838,0,7750,6158,12738,15866,0,18922,0,0,0,0,0,0,0,0,0,7370,15406,0,8600,4466,0,4298,0,0,0,0,5040,6188,0,920,6780,8874,10264,11482,8432,0,0,4584,0,7996,0,0,7234,7344,11032,0,0,4330,7664,0,5026,0,0,0,0,5750,7486,7070,14872,0,9532,12544,0,0,0,0,0,0,0,19862,0,17804,0,16092,5108,7762,0,0,0,0,0,0,0,0,0,12246,0,13810,0,8890,0,0,0,6508,5358,0,5164,0,0,0,0,5582,0,7434,0,0,0,0,0,0,6000,6640,5606,0,0,0,6614,4628,0,0,0,0,5892,0,0,0,0,13924,0,0,5154,6906,4210,0,0,0,0,0
380.21575,746,1988,834,6726,1850,1156,656,1466,2032,1876,3390,15090,4704,3348,994,6064,1946,2062,3534,8038,5550,0,12772,12892,10132,7184,6268,2912,3996,3832,552,3774,1984,1820,1502,1000,474,1888,1024,2224,1060,702,2068,2986,2586,1416,3208,4522,5332,2788,6488,858,146,1274,1770,2542,566,3044,1652,1722,3896,490,9770,1094,0,1558,2570,2382,3936,6592,1542,1556,0,1256,6994,7806,2734,2742,1060,1336,11402,11512,11516,7420,5976,12286,4246,10264,10618,6436,1090,0,2234,1006,494,690,428,1428,722,954,824,0,1996,4126,970,1404,948,636,1034,4506,2588,926,1078,648,1002,1502,1974,2148,2404,3002,844,888,3210,634,2724,1398,2936,932,1354,1014,3474,0,1174,2168,3192,1584,772,3540,1364,1556,1686,1064,1126,7400,1720,2582,2272,1548,1374,1460,1900,2124,1372,1444
403.24091,0,7336,2366,0,0,3636,0,4472,0,0,8848,0,0,0,0,14594,0,0,0,0,16438,0,28438,31304,23246,17732,15438,12252,15594,12200,3954,0,0,7082,0,0,5034,0,3304,3652,3896,994,0,0,6246,5932,0,0,0,0,0,3866,2530,0,3636,0,1412,9752,0,0,0,976,16484,0,0,5674,0,4478,13676,16420,6920,0,0,0,0,17024,0,0,3568,2766,14428,20208,19582,23288,14422,15904,13476,0,21034,0,0,0,11936,3738,1760,14970,2132,5024,4544,4194,7684,0,3842,0,8240,0,9460,3392,7280,0,0,4456,0,2702,2530,1736,5534,0,4666,0,2204,2972,10424,2746,3902,5222,2148,0,0,566,694,2576,0,0,12666,6100,3526,4354,0,5462,6870,4078,2232,0,6542,11470,0,0,0,7396,4226,5116,8098,7132
389.22865,2258,2914,388,8316,2958,2440,2476,3960,3886,3544,6160,0,6742,0,2786,10440,0,4640,9138,12420,11020,0,19780,22164,14682,10556,8570,8164,10552,8982,1780,0,9448,3794,5438,2962,3522,3352,2388,3218,2518,462,3306,3824,4396,2800,5092,7358,7546,7112,7216,2132,1932,2392,1942,4134,746,5278,5006,4722,7682,1066,0,3306,0,3146,0,2388,8372,12944,0,2996,8574,3332,10330,9696,5222,10908,2094,3194,11774,0,11238,0,0,0,9786,0,0,10902,2502,4040,7612,2190,1128,3934,840,3960,2802,0,5986,6706,2362,12660,0,5322,2950,1980,3398,6778,6480,3178,2548,1916,1286,1060,3574,3796,2770,0,1442,1888,5750,2052,1566,4966,2562,4328,3740,178,1002,2262,3730,3410,0,4114,2462,2726,3516,3772,3716,2168,1142,0,3886,8158,3930,3150,2906,4212,3814,2822,4736,3884
196.58878,708,878,1312,4486,2520,636,788,1968,1642,2830,858,5536,4874,3314,1246,5926,1650,1848,5832,6278,4462,4972,9146,6014,7670,3862,5116,3714,4420,3118,1082,6726,4148,1206,1260,696,876,1974,1668,1814,702,318,1988,2356,3054,1056,3002,2694,4394,2734,7624,1176,412,1174,1382,5278,154,4624,7198,2040,3906,214,6066,1440,7600,1468,1528,1180,6864,7256,2132,2496,4118,862,3782,5996,5462,9226,1652,980,6140,6412,6948,8432,4016,4846,3048,7110,7356,5688,2266,1940,2164,530,178,448,136,2410,2222,2412,506,3054,960,1602,540,1364,1120,640,762,4410,3432,644,1564,208,394,888,1368,1804,1572,1396,192,582,1006,496,1302,1708,4368,1550,1678,3072,3756,144,2272,2516,3472,2100,462,2750,2072,1744,1590,818,898,3996,520,5976,3528,1306,1088,1612,2730,750,1448,1164
150.02871,3408,6364,7944,14218,7654,4950,6100,8664,5078,16982,13148,16904,5978,11254,3948,14492,5782,3944,9612,11190,10246,3504,10162,8774,6912,6566,3426,3942,2948,8116,3094,7956,11438,2204,6650,3588,2706,4374,5632,5842,3728,2374,2686,2382,4128,2422,2420,0,4404,6646,7964,4442,3492,3576,3340,6500,2008,5536,5236,2628,6038,1590,9460,5054,10320,7878,8634,6400,13720,25416,3780,3514,18690,7888,10946,13354,8986,14016,3984,2204,7982,6214,3990,4422,3752,5926,3226,4748,6740,5122,2736,6110,5310,2866,1930,0,1694,3322,3742,2698,10880,9888,2784,9326,9386,5926,5460,2722,5732,9132,5828,2490,3996,2876,2110,2968,8342,4416,3936,3642,3554,8718,5120,3104,3446,6116,12154,9280,5836,10224,7770,6954,6862,3616,8214,2842,3010,4030,11538,13460,11032,6216,4784,13870,3068,4586,3660,2768,2752,2782,4368,8280,8672,3434
