lake	month	origin	lake_origin	replicate	samples	month_full	Temperature_median	Salinity_median	Oxygen_median	pH_median	Chla_median	PROK_1_median	PROK_2_median	LARGE_CELLS_median	VLP_TOT_median	CELLS_TOT_median	TPN	TPC	TPC.TPN	Secchi	NH4	PO4	NO3_N02
BOI.B.GAR.GUT10	BOI	B	LEP	BOI_LEP	GUT10	BOI-B-GAR-GUT10	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.GAR.GUT1	BOI	B	LEP	BOI_LEP	GUT1	BOI-B-GAR-GUT1	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.GAR.GUT2	BOI	B	LEP	BOI_LEP	GUT2	BOI-B-GAR-GUT2	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.GAR.GUT3	BOI	B	LEP	BOI_LEP	GUT3	BOI-B-GAR-GUT3	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.GAR.GUT4	BOI	B	LEP	BOI_LEP	GUT4	BOI-B-GAR-GUT4	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.GAR.GUT5	BOI	B	LEP	BOI_LEP	GUT5	BOI-B-GAR-GUT5	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.GAR.GUT6	BOI	B	LEP	BOI_LEP	GUT6	BOI-B-GAR-GUT6	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.GAR.GUT7	BOI	B	LEP	BOI_LEP	GUT7	BOI-B-GAR-GUT7	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.GAR.GUT8	BOI	B	LEP	BOI_LEP	GUT8	BOI-B-GAR-GUT8	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.GAR.GUT9	BOI	B	LEP	BOI_LEP	GUT9	BOI-B-GAR-GUT9	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.W1.ADN1	BOI	B	WATER	BOI_WATER	W1	BOI-B-W1-ADN1	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.W2.ADN1	BOI	B	WATER	BOI_WATER	W2	BOI-B-W2-ADN1	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.W2.SED1	BOI	B	SED	BOI_SED	SED1	BOI-B-W2-SED1	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
BOI.B.W3.ADN1	BOI	B	WATER	BOI_WATER	W3	BOI-B-W3-ADN1	July	25.8	0.1	120	8.2	11.97	2937142.85714286	1234857.14285714	324857.142857143	26216571.4285714	4438857.14285714	0.158770857142857	1.61829371428571	10.1926370078712	1	0.46885881	0.023	10.182
CHA.B.GAR.GUT10	CHA	B	LEP	CHA_LEP	GUT10	CHA-B-GAR-GUT10	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
