sample;lake;month;origin;lake_origin;replicate;samples
BOI-B-GAR-GUT10;BOI;B;LEP;BOI_LEP;GUT10;BOI-B-GAR-GUT10
BOI-B-GAR-GUT1;BOI;B;LEP;BOI_LEP;GUT1;BOI-B-GAR-GUT1
BOI-B-GAR-GUT2;BOI;B;LEP;BOI_LEP;GUT2;BOI-B-GAR-GUT2
BOI-B-GAR-GUT3;BOI;B;LEP;BOI_LEP;GUT3;BOI-B-GAR-GUT3
BOI-B-GAR-GUT4;BOI;B;LEP;BOI_LEP;GUT4;BOI-B-GAR-GUT4
BOI-B-GAR-GUT5;BOI;B;LEP;BOI_LEP;GUT5;BOI-B-GAR-GUT5
BOI-B-GAR-GUT6;BOI;B;LEP;BOI_LEP;GUT6;BOI-B-GAR-GUT6
BOI-B-GAR-GUT7;BOI;B;LEP;BOI_LEP;GUT7;BOI-B-GAR-GUT7
BOI-B-GAR-GUT8;BOI;B;LEP;BOI_LEP;GUT8;BOI-B-GAR-GUT8
BOI-B-GAR-GUT9;BOI;B;LEP;BOI_LEP;GUT9;BOI-B-GAR-GUT9
BOI-B-W1-ADN1;BOI;B;WATER;BOI_WATER;W1;BOI-B-W1-ADN1
BOI-B-W2-ADN1;BOI;B;WATER;BOI_WATER;W2;BOI-B-W2-ADN1
BOI-B-W2-SED1;BOI;B;SED;BOI_SED;SED1;BOI-B-W2-SED1
BOI-B-W3-ADN1;BOI;B;WATER;BOI_WATER;W3;BOI-B-W3-ADN1
CHA-B-GAR-GUT10;CHA;B;LEP;CHA_LEP;GUT10;CHA-B-GAR-GUT10
CHA-B-GAR-GUT1;CHA;B;LEP;CHA_LEP;GUT1;CHA-B-GAR-GUT1
CHA-B-GAR-GUT2;CHA;B;LEP;CHA_LEP;GUT2;CHA-B-GAR-GUT2
CHA-B-GAR-GUT3;CHA;B;LEP;CHA_LEP;GUT3;CHA-B-GAR-GUT3
CHA-B-GAR-GUT4;CHA;B;LEP;CHA_LEP;GUT4;CHA-B-GAR-GUT4
CHA-B-GAR-GUT5;CHA;B;LEP;CHA_LEP;GUT5;CHA-B-GAR-GUT5
CHA-B-GAR-GUT6;CHA;B;LEP;CHA_LEP;GUT6;CHA-B-GAR-GUT6
CHA-B-GAR-GUT7;CHA;B;LEP;CHA_LEP;GUT7;CHA-B-GAR-GUT7
CHA-B-GAR-GUT8;CHA;B;LEP;CHA_LEP;GUT8;CHA-B-GAR-GUT8
CHA-B-GAR-GUT9;CHA;B;LEP;CHA_LEP;GUT9;CHA-B-GAR-GUT9
CHA-B-PER-GUT10;CHA;B;PER;CHA_PER;GUT10;CHA-B-PER-GUT10
CHA-B-PER-GUT1;CHA;B;PER;CHA_PER;GUT1;CHA-B-PER-GUT1
CHA-B-PER-GUT2;CHA;B;PER;CHA_PER;GUT2;CHA-B-PER-GUT2
CHA-B-PER-GUT3;CHA;B;PER;CHA_PER;GUT3;CHA-B-PER-GUT3
CHA-B-PER-GUT4;CHA;B;PER;CHA_PER;GUT4;CHA-B-PER-GUT4
CHA-B-PER-GUT5;CHA;B;PER;CHA_PER;GUT5;CHA-B-PER-GUT5
CHA-B-PER-GUT6;CHA;B;PER;CHA_PER;GUT6;CHA-B-PER-GUT6
CHA-B-PER-GUT7;CHA;B;PER;CHA_PER;GUT7;CHA-B-PER-GUT7
CHA-B-PER-GUT8;CHA;B;PER;CHA_PER;GUT8;CHA-B-PER-GUT8
CHA-B-PER-GUT9;CHA;B;PER;CHA_PER;GUT9;CHA-B-PER-GUT9
CHA-B-W1-ADN1;CHA;B;WATER;CHA_WATER;W1;CHA-B-W1-ADN1
CHA-B-W2-ADN1;CHA;B;WATER;CHA_WATER;W2;CHA-B-W2-ADN1
CHA-B-W2-SED1;CHA;B;SED;CHA_SED;SED1;CHA-B-W2-SED1
CHA-B-W3-ADN1;CHA;B;WATER;CHA_WATER;W3;CHA-B-W3-ADN1
CRJ1-B-W1-ADN1;CRJ1;B;WATER;CRJ1_WATER;W1;CRJ1-B-W1-ADN1
CRJ1-B-W2-ADN1;CRJ1;B;WATER;CRJ1_WATER;W2;CRJ1-B-W2-ADN1
CRJ1-B-W2-SED1;CRJ1;B;SED;CRJ1_SED;SED1;CRJ1-B-W2-SED1
CRJ1-B-W3-ADN1;CRJ1;B;WATER;CRJ1_WATER;W3;CRJ1-B-W3-ADN1
CRJ2-B-W1-ADN1;CRJ2;B;WATER;CRJ2_WATER;W1;CRJ2-B-W1-ADN1
CRJ2-B-W2-ADN1;CRJ2;B;WATER;CRJ2_WATER;W2;CRJ2-B-W2-ADN1
CRJ2-B-W2-SED1;CRJ2;B;SED;CRJ2_SED;SED1;CRJ2-B-W2-SED1
CRJ2-B-W3-ADN1;CRJ2;B;WATER;CRJ2_WATER;W3;CRJ2-B-W3-ADN1
CRJ-B-GAR-GUT10;CRJ1;B;LEP;CRJ1_LEP;GUT10;CRJ-B-GAR-GUT10
CRJ-B-GAR-GUT1;CRJ1;B;LEP;CRJ1_LEP;GUT1;CRJ-B-GAR-GUT1
