ID_Sequencing,ID_Metabolomics,ID_final
BOI-B-GAR-GUT10,BOI_G10_74_1_4271,BOI-B-LEP-GUT10
BOI-B-GAR-GUT1,BOI_G1_65_1_4261,BOI-B-LEP-GUT1
BOI-B-GAR-GUT2,BOI_G2_66_1_4262,BOI-B-LEP-GUT2
BOI-B-GAR-GUT3,BOI_G3_67_1_4263,BOI-B-LEP-GUT3
BOI-B-GAR-GUT4,BOI_G4_68_1_4264,BOI-B-LEP-GUT4
BOI-B-GAR-GUT5,BOI_G5_69_1_4265,BOI-B-LEP-GUT5
BOI-B-GAR-GUT6,BOI_G6_70_1_4267,BOI-B-LEP-GUT6
BOI-B-GAR-GUT7,BOI_G7_71_1_4268,BOI-B-LEP-GUT7
BOI-B-GAR-GUT8,BOI_G8_72_1_4269,BOI-B-LEP-GUT8
BOI-B-GAR-GUT9,BOI_G9_73_1_4270,BOI-B-LEP-GUT9
CHA-B-GAR-GUT10,CHA_G10_84_1_4283,CHA-B-LEP-GUT10
CHA-B-GAR-GUT1,CHA_G1_75_1_4273,CHA-B-LEP-GUT1
CHA-B-GAR-GUT2,CHA_G2_76_1_4274,CHA-B-LEP-GUT2
CHA-B-GAR-GUT3,CHA_G3_77_1_4275,CHA-B-LEP-GUT3
CHA-B-GAR-GUT4,CHA_G4_78_1_4276,CHA-B-LEP-GUT4
CHA-B-GAR-GUT5,CHA_G5_79_1_4277,CHA-B-LEP-GUT5
CHA-B-GAR-GUT6,CHA_G6_80_1_4279,CHA-B-LEP-GUT6
CHA-B-GAR-GUT7,CHA_G7_81_1_4280,CHA-B-LEP-GUT7
CHA-B-GAR-GUT8,CHA_G8_82_1_4281,CHA-B-LEP-GUT8
CHA-B-GAR-GUT9,CHA_G9_83_1_4282,CHA-B-LEP-GUT9
CHA-B-PER-GUT10,CHA_P10_10_1_4194,CHA-B-PER-GUT10
CHA-B-PER-GUT1,CHA_P1_1_1_4184,CHA-B-PER-GUT1
CHA-B-PER-GUT2,CHA_P2_2_1_4185,CHA-B-PER-GUT2
CHA-B-PER-GUT3,CHA_P3_3_1_4186,CHA-B-PER-GUT3
CHA-B-PER-GUT4,CHA_P4_4_1_4187,CHA-B-PER-GUT4
CHA-B-PER-GUT5,CHA_P5_5_1_4188,CHA-B-PER-GUT5
CHA-B-PER-GUT6,CHA_P6_6_1_4190,CHA-B-PER-GUT6
CHA-B-PER-GUT7,CHA_P7_7_1_4191,CHA-B-PER-GUT7
CHA-B-PER-GUT8,CHA_P8_8_1_4192,CHA-B-PER-GUT8
CHA-B-PER-GUT9,CHA_P9_9_1_4193,CHA-B-PER-GUT9
CRJ-B-GAR-GUT10,CRJ_G10_104_1_4307,CRJ1-B-LEP-GUT10
CRJ-B-GAR-GUT1,CRJ_G1_95_1_4297,CRJ1-B-LEP-GUT1
CRJ-B-GAR-GUT2,CRJ_G2_96_1_4298,CRJ1-B-LEP-GUT2
CRJ-B-GAR-GUT3,CRJ_G3_97_1_4299,CRJ1-B-LEP-GUT3
CRJ-B-GAR-GUT4,CRJ_G4_98_1_4300,CRJ1-B-LEP-GUT4
CRJ-B-GAR-GUT5,CRJ_G5_99_1_4301,CRJ1-B-LEP-GUT5
CRJ-B-GAR-GUT6,CRJ_G6_100_1_4303,CRJ1-B-LEP-GUT6
CRJ-B-GAR-GUT7,CRJ_G7_101_1_4304,CRJ1-B-LEP-GUT7
CRJ-B-GAR-GUT8,CRJ_G8_102_1_4305,CRJ1-B-LEP-GUT8
CRJ-B-GAR-GUT9,CRJ_G9_103_1_4306,CRJ1-B-LEP-GUT9
CRJ-B-PER-GUT10,CRJ_P10_40_1_4230,CRJ1-B-PER-GUT10
CRJ-B-PER-GUT1,CRJ_P1_31_1_4220,CRJ1-B-PER-GUT1
CRJ-B-PER-GUT2,CRJ_P2_32_1_4221,CRJ1-B-PER-GUT2
CRJ-B-PER-GUT3,CRJ_P3_33_1_4222,CRJ1-B-PER-GUT3
CRJ-B-PER-GUT4,CRJ_P4_34_1_4223,CRJ1-B-PER-GUT4
CRJ-B-PER-GUT5,CRJ_P5_35_1_4224,CRJ1-B-PER-GUT5
CRJ-B-PER-GUT6,CRJ_P6_36_1_4226,CRJ1-B-PER-GUT6
CRJ-B-PER-GUT7,CRJ_P7_37_1_4227,CRJ1-B-PER-GUT7
CRJ-B-PER-GUT8,CRJ_P8_38_1_4228,CRJ1-B-PER-GUT8
CRJ-B-PER-GUT9,CRJ_P9_39_1_4229,CRJ1-B-PER-GUT9
CTL-B-GAR-GUT10,CTL_G10_30_1_4349,CTL-B-LEP-GUT10
CTL-B-GAR-GUT1,CTL_G1_21_1_4339,CTL-B-LEP-GUT1
CTL-B-GAR-GUT2,CTL_G2_22_1_4340,CTL-B-LEP-GUT2
CTL-B-GAR-GUT3,CTL_G3_23_1_4341,CTL-B-LEP-GUT3
CTL-B-GAR-GUT4,CTL_G4_24_1_4342,CTL-B-LEP-GUT4
CTL-B-GAR-GUT5,CTL_G5_25_1_4343,CTL-B-LEP-GUT5
CTL-B-GAR-GUT6,CTL_G6_26_1_4345,CTL-B-LEP-GUT6
CTL-B-GAR-GUT7,CTL_G7_27_1_4346,CTL-B-LEP-GUT7
CTL-B-GAR-GUT8,CTL_G8_28_1_4347,CTL-B-LEP-GUT8
CTL-B-GAR-GUT9,CTL_G9_29_1_4348,CTL-B-LEP-GUT9
CTL-B-PER-GUT10,CTL_P10_30_1_4218,CTL-B-PER-GUT10
CTL-B-PER-GUT1,CTL_P1_21_1_4208,CTL-B-PER-GUT1
CTL-B-PER-GUT2,CTL_P2_22_1_4209,CTL-B-PER-GUT2
CTL-B-PER-GUT3,CTL_P3_23_1_4210,CTL-B-PER-GUT3
CTL-B-PER-GUT4,CTL_P4_24_1_4211,CTL-B-PER-GUT4
CTL-B-PER-GUT5,CTL_P5_25_1_4212,CTL-B-PER-GUT5
CTL-B-PER-GUT6,CTL_P6_26_1_4214,CTL-B-PER-GUT6
CTL-B-PER-GUT7,CTL_P7_27_1_4215,CTL-B-PER-GUT7
CTL-B-PER-GUT8,CTL_P8_28_1_4216,CTL-B-PER-GUT8
CTL-B-PER-GUT9,CTL_P9_29_1_4217,CTL-B-PER-GUT9
GDP-B-GAR-GUT10,GDP_G10_50_1_4373,GDP-B-LEP-GUT10
GDP-B-GAR-GUT1,GDP_G1_41_1_4363,GDP-B-LEP-GUT1
GDP-B-GAR-GUT2,GDP_G2_42_1_4364,GDP-B-LEP-GUT2
GDP-B-GAR-GUT3,GDP_G3_43_1_4365,GDP-B-LEP-GUT3
GDP-B-GAR-GUT4,GDP_G4_44_1_4366,GDP-B-LEP-GUT4
GDP-B-GAR-GUT5,GDP_G5_45_1_4367,GDP-B-LEP-GUT5
GDP-B-GAR-GUT6,GDP_G6_46_1_4369,GDP-B-LEP-GUT6
GDP-B-GAR-GUT7,GDP_G7_47_1_4370,GDP-B-LEP-GUT7
GDP-B-GAR-GUT8,GDP_G8_48_1_4371,GDP-B-LEP-GUT8
GDP-B-GAR-GUT9,GDP_G9_49_1_4372,GDP-B-LEP-GUT9
GDP-B-PER-GUT10,GDP_P10_20_1_4206,GDP-B-PER-GUT10
GDP-B-PER-GUT1,GDP_P1_11_1_4196,GDP-B-PER-GUT1
GDP-B-PER-GUT2,GDP_P2_12_1_4197,GDP-B-PER-GUT2
GDP-B-PER-GUT3,GDP_P3_13_1_4198,GDP-B-PER-GUT3
GDP-B-PER-GUT4,GDP_P4_14_1_4199,GDP-B-PER-GUT4
GDP-B-PER-GUT5,GDP_P5_15_1_4200,GDP-B-PER-GUT5
GDP-B-PER-GUT6,GDP_P6_16_1_4202,GDP-B-PER-GUT6
GDP-B-PER-GUT7,GDP_P7_17_1_4203,GDP-B-PER-GUT7
GDP-B-PER-GUT8,GDP_P8_18_1_4204,GDP-B-PER-GUT8
GDP-B-PER-GUT9,GDP_P9_19_1_4205,GDP-B-PER-GUT9
JAB-B-GAR-GUT10,JAB_G10_40_1_4361,JAB-B-LEP-GUT10
JAB-B-GAR-GUT1,JAB_G1_31_1_4351,JAB-B-LEP-GUT1
JAB-B-GAR-GUT2,JAB_G2_32_1_4352,JAB-B-LEP-GUT2
JAB-B-GAR-GUT3,JAB_G3_33_1_4353,JAB-B-LEP-GUT3
JAB-B-GAR-GUT4,JAB_G4_34_1_4354,JAB-B-LEP-GUT4
JAB-B-GAR-GUT5,JAB_G5_35_1_4355,JAB-B-LEP-GUT5
JAB-B-GAR-GUT6,JAB_G6_36_1_4357,JAB-B-LEP-GUT6
JAB-B-GAR-GUT7,JAB_G7_37_1_4358,JAB-B-LEP-GUT7
JAB-B-GAR-GUT8,JAB_G8_38_1_4359,JAB-B-LEP-GUT8
JAB-B-GAR-GUT9,JAB_G9_39_1_4360,JAB-B-LEP-GUT9
JAB-B-PER-GUT1,JAB_P1_61_1_4256,JAB-B-PER-GUT1
JAB-B-PER-GUT2,JAB_P2_62_1_4257,JAB-B-PER-GUT2
JAB-B-PER-GUT3,JAB_P3_63_1_4258,JAB-B-PER-GUT3
JAB-B-PER-GUT5,JAB_P4_64_1_4259,JAB-B-PER-GUT5
TRI-B-GAR-GUT10,TRI_G10_10_1_4325,CRJ2-B-LEP-GUT10
TRI-B-GAR-GUT1,TRI_G1_1_1_4315,CRJ2-B-LEP-GUT1
TRI-B-GAR-GUT2,TRI_G2_2_1_4316,CRJ2-B-LEP-GUT2
TRI-B-GAR-GUT3,TRI_G3_3_1_4317,CRJ2-B-LEP-GUT3
TRI-B-GAR-GUT4,TRI_G4_4_1_4318,CRJ2-B-LEP-GUT4
TRI-B-GAR-GUT5,TRI_G5_5_1_4319,CRJ2-B-LEP-GUT5
