"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1","d__Bacteria","Planctomycetota","OM190","OM190","OM190","OM190","uncultured_bacterium"
"ASV_2","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured_soil"
"ASV_3","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_4","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_5","d__Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","uncultured","uncultured",NA
"ASV_6","d__Bacteria","Desulfobacterota","uncultured","uncultured","uncultured","uncultured","uncultured_bacterium"
"ASV_7","d__Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","uncultured","uncultured_organism"
"ASV_8","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA
"ASV_9","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Peptoniphilus",NA
"ASV_10","d__Bacteria","Elusimicrobiota","Elusimicrobia","MVP-88","MVP-88","MVP-88","uncultured_bacterium"
"ASV_11","d__Bacteria","Deinococcota","Deinococci","Thermales","Thermaceae","Meiothermus","uncultured_compost"
"ASV_12","d__Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Acetobacterium",NA
"ASV_13","d__Bacteria","Deinococcota","Deinococci","Deinococcales","Trueperaceae","Truepera","uncultured_bacterium"
"ASV_14","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15","d__Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV_16","d__Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured","uncultured_Anaerolineae"
"ASV_17","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tabrizicola","uncultured_bacterium"
"ASV_18","d__Bacteria","Actinobacteriota","Coriobacteriia","OPB41","OPB41","OPB41","uncultured_soil"
"ASV_19","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter",NA
"ASV_20","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_21","d__Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","SG8-4",NA
"ASV_22","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_23","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV_24","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","Kocuria_rhizophila"
"ASV_25","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_26","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_27","d__Bacteria",NA,NA,NA,NA,NA,NA
