asv	BOI.B.GAR.GUT1	BOI.B.GAR.GUT10	BOI.B.GAR.GUT2	BOI.B.GAR.GUT3	BOI.B.GAR.GUT4	BOI.B.GAR.GUT5	BOI.B.GAR.GUT6	BOI.B.GAR.GUT7	BOI.B.GAR.GUT8	BOI.B.GAR.GUT9	BOI.B.W1.ADN1	BOI.B.W2.ADN1	BOI.B.W2.SED1	BOI.B.W3.ADN1	CHA.B.GAR.GUT1	CHA.B.GAR.GUT10	CHA.B.GAR.GUT2	CHA.B.GAR.GUT3	CHA.B.GAR.GUT4	CHA.B.GAR.GUT5	CHA.B.GAR.GUT6	CHA.B.GAR.GUT7	CHA.B.GAR.GUT8	CHA.B.GAR.GUT9	CHA.B.PER.GUT1	CHA.B.PER.GUT10	CHA.B.PER.GUT2	CHA.B.PER.GUT3	CHA.B.PER.GUT4	CHA.B.PER.GUT5	CHA.B.PER.GUT6	CHA.B.PER.GUT7	CHA.B.PER.GUT8	CHA.B.PER.GUT9	CHA.B.W1.ADN1	CHA.B.W2.ADN1	CHA.B.W2.SED1	CHA.B.W3.ADN1	CRJ.B.GAR.GUT1	CRJ.B.GAR.GUT10	CRJ.B.GAR.GUT2	CRJ.B.GAR.GUT3	CRJ.B.GAR.GUT4	CRJ.B.GAR.GUT5	CRJ.B.GAR.GUT6	CRJ.B.GAR.GUT7	CRJ.B.GAR.GUT8	CRJ.B.GAR.GUT9	CRJ.B.PER.GUT1	CRJ.B.PER.GUT10	CRJ.B.PER.GUT2	CRJ.B.PER.GUT3	CRJ.B.PER.GUT4	CRJ.B.PER.GUT5	CRJ.B.PER.GUT6	CRJ.B.PER.GUT7	CRJ.B.PER.GUT8	CRJ.B.PER.GUT9	CRJ1.B.W1.ADN1	CRJ1.B.W2.ADN1	CRJ1.B.W2.SED1	CRJ1.B.W3.ADN1	CRJ2.B.W1.ADN1	CRJ2.B.W2.ADN1	CRJ2.B.W2.SED1	CRJ2.B.W3.ADN1	CTL.B.GAR.GUT1	CTL.B.GAR.GUT10	CTL.B.GAR.GUT2	CTL.B.GAR.GUT3	CTL.B.GAR.GUT4	CTL.B.GAR.GUT5	CTL.B.GAR.GUT6	CTL.B.GAR.GUT7	CTL.B.GAR.GUT8	CTL.B.GAR.GUT9	CTL.B.PER.GUT1	CTL.B.PER.GUT10	CTL.B.PER.GUT2	CTL.B.PER.GUT3	CTL.B.PER.GUT4	CTL.B.PER.GUT5	CTL.B.PER.GUT6	CTL.B.PER.GUT7	CTL.B.PER.GUT8	CTL.B.PER.GUT9	CTL.B.W1.ADN1	CTL.B.W2.ADN1	CTL.B.W2.SED1	CTL.B.W3.ADN1	GDP.B.GAR.GUT1	GDP.B.GAR.GUT10	GDP.B.GAR.GUT2	GDP.B.GAR.GUT3	GDP.B.GAR.GUT4	GDP.B.GAR.GUT5	GDP.B.GAR.GUT6	GDP.B.GAR.GUT7	GDP.B.GAR.GUT8	GDP.B.GAR.GUT9	GDP.B.PER.GUT1	GDP.B.PER.GUT10	GDP.B.PER.GUT2	GDP.B.PER.GUT3	GDP.B.PER.GUT4	GDP.B.PER.GUT5	GDP.B.PER.GUT6	GDP.B.PER.GUT7	GDP.B.PER.GUT8	GDP.B.PER.GUT9	GDP.B.W1.ADN1	GDP.B.W2.ADN1	GDP.B.W2.SED1	GDP.B.W3.ADN1	JAB.B.GAR.GUT1	JAB.B.GAR.GUT10	JAB.B.GAR.GUT2	JAB.B.GAR.GUT3	JAB.B.GAR.GUT4	JAB.B.GAR.GUT5	JAB.B.GAR.GUT6	JAB.B.GAR.GUT7	JAB.B.GAR.GUT8	JAB.B.GAR.GUT9	JAB.B.PER.GUT1	JAB.B.PER.GUT2	JAB.B.PER.GUT3	JAB.B.PER.GUT5	JAB.B.W1.ADN1	JAB.B.W2.ADN1	JAB.B.W2.SED1	JAB.B.W3.ADN1	T.extract.2.ADN1	TRI.B.GAR.GUT1	TRI.B.GAR.GUT10	TRI.B.GAR.GUT2	TRI.B.GAR.GUT3	TRI.B.GAR.GUT4	TRI.B.GAR.GUT5	TRI.B.GAR.GUT6	TRI.B.GAR.GUT7	TRI.B.GAR.GUT8	TRI.B.GAR.GUT9	TRI.B.PER.GUT1	TRI.B.PER.GUT10	TRI.B.PER.GUT2	TRI.B.PER.GUT3	TRI.B.PER.GUT4	TRI.B.PER.GUT5	TRI.B.PER.GUT6	TRI.B.PER.GUT7	TRI.B.PER.GUT8	TRI.B.PER.GUT9	VAI.B.GAR.GUT1	VAI.B.GAR.GUT10	VAI.B.GAR.GUT2	VAI.B.GAR.GUT3	VAI.B.GAR.GUT4	VAI.B.GAR.GUT5	VAI.B.GAR.GUT6	VAI.B.GAR.GUT7	VAI.B.GAR.GUT8	VAI.B.GAR.GUT9	VAI.B.W1.ADN1	VAI.B.W2.ADN1	VAI.B.W2.SED1	VAI.B.W3.ADN1	VER.B.GAR.GUT1	VER.B.GAR.GUT10	VER.B.GAR.GUT2	VER.B.GAR.GUT3	VER.B.GAR.GUT4	VER.B.GAR.GUT5	VER.B.GAR.GUT6	VER.B.GAR.GUT7	VER.B.GAR.GUT8	VER.B.GAR.GUT9	VER.B.PER.GUT1	VER.B.PER.GUT10	VER.B.PER.GUT2	VER.B.PER.GUT3	VER.B.PER.GUT4	VER.B.PER.GUT5	VER.B.PER.GUT6	VER.B.PER.GUT7	VER.B.PER.GUT8	VER.B.PER.GUT9	VER.B.W1.ADN1	VER.B.W2.ADN1	VER.B.W2.SED1	VER.B.W3.ADN1
ASV_00001	100	0	0	29	0	0	137	26	160	1344	13	10	0	0	0	125	0	0	0	0	0	41	0	0	0	296	0	0	0	0	0	0	0	0	10	7	0	12	618	1109	954	1309	1279	418	2003	860	2434	33	344	0	0	0	116	6	9	14	15	1518	42	0	0	18	55	0	0	0	783	0	1149	0	1372	48	29	0	126	0	0	0	0	0	0	0	848	610	0	192	0	0	0	0	271	730	21	11	0	0	2730	813	55	3287	0	0	0	0	0	14	0	0	0	0	0	9	0	0	0	468	0	0	0	0	0	0	0	0	0	0	12	0	12	16	0	20	0	609	2715	0	136	128	453	619	147	0	613	4830	572	3731	90	4481	52	138	1584	21	6173	55	53	53	0	29	451	0	27	0	315	0	0	0	0	110	0	7100	234	50	11	0	20	16	0	13634	184	5046	392	11584	682	40	119	148	10348	0	0	0	0
ASV_00002	0	0	25	2	0	13	0	0	0	4	8497	7987	0	7944	282	17	0	34	27	47	144	48	39	30	0	95	112	0	185	155	228	412	344	44	31	25	0	23	0	0	0	0	0	0	0	0	0	0	0	0	109	16	0	2860	0	0	0	0	5387	5440	0	2761	8146	8185	4	5011	0	0	0	0	0	0	0	0	7	0	50	25	0	0	0	0	0	0	0	0	1765	1461	0	1595	6	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2596	2426	0	3499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	791	2604	4	2699	9	0	0	0	6	0	16	0	5	0	10	0	0	0	31	0	7	0	6	0	0	0	0	0	0	0	4	0	0	0	0	672	5552	4	7574	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	8	0	0	0	3659	1284	0	1453
ASV_00003	3677	45	68	0	420	1450	424	0	29	2730	0	0	0	0	45	0	32	11	8	43	5497	18	21	51	0	299	0	26	0	0	0	0	235	0	0	0	0	0	764	148	803	962	2138	2454	268	4933	865	41	26	82	12	67	61	0	36	61	41	0	0	0	0	0	10	0	13	0	184	0	288	13	1804	91	4082	1439	641	3299	0	52	43	0	0	0	1461	1030	0	0	0	0	0	0	1265	2776	150	69	205	332	804	2123	93	294	0	35	65	16	37	36	21	16	265	17	0	0	0	0	927	7668	0	0	120	329	495	0	1565	1088	0	0	83	0	0	0	0	0	0	224	3652	20	80	422	0	919	864	4837	709	541	158	112	121	59	11	0	43	17	22	330	2286	0	417	1287	3479	412	47	48	3582	0	0	0	0	7074	886	1363	733	17	0	0	20	0	1552	20	287	653	65	34	77	53	93	99	27	0	0	0	0
ASV_00004	0	0	42	0	0	36	0	0	0	0	1874	2527	0	2718	189	0	0	0	36	19	75	38	12	32	0	57	82	22	102	99	160	255	164	47	312	316	0	259	0	0	0	0	0	0	0	0	0	0	0	24	62	15	16	1419	0	0	0	0	4250	5013	0	3893	7022	6374	0	7743	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	1577	1257	0	1576	0	0	6	37	0	0	0	0	0	0	0	0	0	0	21	0	0	0	13	0	2083	1884	0	3403	0	0	0	0	0	0	0	0	0	0	118	0	32	0	1520	2942	0	3018	84	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	0	0	0	0	0	0	0	1222	2374	0	5585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	3	0	0	0	4573	3891	0	5365
ASV_00005	422	48	134	0	112	95	1512	210	344	2667	0	0	0	0	0	44	0	22	48	41	0	25	0	87	0	281	0	0	0	29	0	0	0	0	0	0	0	0	2940	367	2415	1039	2752	2933	592	614	2151	99	26	73	0	576	636	0	124	77	108	260	0	0	173	0	0	0	28	0	300	0	0	0	2274	267	197	0	639	139	0	81	63	0	0	34	1734	1114	72	0	0	0	0	0	1276	1855	98	189	331	54	939	4689	51	2129	0	617	0	652	520	1055	169	357	249	264	0	0	0	0	76	129	55	0	0	0	181	6	0	26	0	0	32	0	0	0	13	0	0	2451	951	0	851	1717	1580	704	542	632	295	150	0	0	72	51	0	215	0	0	598	2764	3656	4109	245	780	1625	73	396	226	2557	0	0	44	0	101	0	3483	676	44	35	0	0	109	106	0	196	221	65	0	56	0	62	0	0	0	0	0	0
ASV_00006	713	0	87	0	112	91	1800	147	336	5202	33	40	53	48	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	12	2541	689	1062	188	2420	4676	159	1782	2678	433	0	248	324	232	352	7	1168	227	198	395	70	44	221	72	38	0	54	9	818	0	0	72	2208	315	65	13	1040	134	0	0	0	23	86	0	1651	1098	0	0	0	0	0	0	701	592	123	519	2867	0	663	406	79	1811	78	621	178	342	761	1818	216	316	345	340	32	31	0	25	0	562	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1936	811	30	1680	0	3032	3194	385	1236	212	72	22	69	36	0	0	92	0	0	485	776	588	328	304	381	1013	0	227	63	843	10	0	0	5	52	0	147	235	0	0	0	0	33	0	0	0	140	1460	936	118	0	122	93	843	0	0	0	0
ASV_00007	14	0	0	0	0	0	0	0	0	0	37	34	0	30	40	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	24	37	0	93	45	25	80	0	0	0	0	0	0	0	0	0	0	0	36	42	45	129	0	41	9	65	26	1688	951	92	858	746	552	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	74	0	67	101	11	62	178	341	13	0	13	182	24	1070	1761	3361	1240	2434	2157	1235	1189	899	1061	14174	14415	25	15634	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	109	0	0	23	0	0	0	0	0	0	0	0	0	0	53	156	0	165	0	0	0	0	0	0	0	0	0	0	0	0	3	38	0	0	0	0	0	0	40	51	20	35
ASV_00008	1010	262	3771	751	2999	1102	1083	1317	3843	743	13945	12841	3615	17157	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0
ASV_00009	22	12	62	0	0	0	0	0	73	0	274	234	41	332	1264	1178	1894	1762	1922	760	841	1620	1312	1772	1464	977	702	884	1759	1179	2816	1520	2730	1123	2935	2314	0	3517	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	10	0	0	0	0	113	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	71	0	0	16	17	9	122	440	855	267	594	245	520	347	218	317	194	210	0	299	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	26	58	0	223	0	368	0	0	0	0	0	0	0	0	12	241	0	0	0	9	26	68	27	12	0	0	12	14	73	165	2	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
ASV_00010	4182	1715	103	49	584	6501	1447	287	417	364	0	0	0	0	23	61	92	0	0	57	2702	0	0	0	0	658	0	0	0	0	0	22	0	9	0	0	0	0	53	100	138	160	157	175	135	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	119	84	0	0	0	0	0	0	561	1597	0	0	0	55	65	634	21	235	0	16	40	14	50	345	0	0	379	0	0	0	0	0	0	1037	0	0	53	0	694	0	11250	401	0	0	24	0	0	0	0	0	0	0	485	0	52	328	32	0	55	331	0	337	62	134	1841	220	0	0	39	0	0	0	43	0	65	0	0	123	35	0	0	0	0	0	0	0	105	2086	176	0	0	0	0	0	30	0	215	614	56	0	66	0	36	32	0	0	0	0	0
ASV_00011	0	0	18	0	0	30	0	0	34	0	123	100	13	123	1722	1286	1937	1733	2030	949	952	1471	1489	1622	1677	827	781	1186	2130	1307	2960	1968	2546	1190	3252	2228	0	3572	0	0	0	0	0	0	0	0	0	0	25	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	33	0	0	0	0	0	0	56	94	60	141	38	128	100	45	70	44	30	0	53	0	0	351	0	0	0	0	0	0	8	0	0	28	0	0	0	0	0	0	65	0	0	0	58	223	0	406	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00012	405	80	1710	349	800	538	383	671	2542	337	8992	9403	227	12020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00013	0	0	0	0	0	0	0	0	0	0	6	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	6	7	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	137	0	85	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	158	0	0	4003	405	0	10365	78	340	27	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	7	0	0	0	0	0	0	0	0	27	11038	0	1569	0	0	0	0	0	0	10	1403	0	14	0	5	4	4000	1191	0	51	27	0	16
ASV_00014	0	0	0	0	0	0	0	0	0	0	429	482	0	499	11	0	0	0	0	0	27	0	0	0	0	0	0	0	0	26	19	0	39	0	283	140	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	1313	985	0	536	833	1003	0	856	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	992	1014	0	842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2503	1984	0	2664	0	0	0	0	0	0	0	0	0	0	81	0	0	0	3479	3132	0	3590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	443	670	0	1309	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	9	0	2490	2481	0	2464
ASV_00015	91	0	0	0	68	26	565	43	74	1651	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	279	0	0	0	0	0	0	0	0	0	0	0	0	2242	402	737	975	1259	1967	1406	468	1186	72	0	54	0	38	91	0	0	61	66	117	0	0	0	0	0	0	0	0	166	0	0	0	1131	80	57	0	391	51	0	0	0	0	0	0	739	474	0	0	0	0	0	0	170	1270	0	136	183	0	284	1717	0	1394	0	248	54	112	332	438	45	145	115	128	0	0	0	0	0	623	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	1103	573	0	754	0	553	269	431	722	139	89	0	68	24	0	0	40	0	14	164	1820	2255	187	128	271	773	0	179	79	1354	0	0	0	0	55	0	0	603	0	0	0	0	0	0	0	143	305	0	0	0	0	31	0	0	0	0	0	0
ASV_00016	0	0	0	0	0	0	0	0	0	0	771	945	0	794	11	0	0	0	0	0	0	0	0	0	0	0	15	0	0	20	27	0	0	0	854	777	0	438	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	209	0	0	10	0	1837	1852	0	2638	923	1014	0	1086	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	435	799	0	708	0	0	0	13	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1312	1432	0	1596	0	0	0	0	0	0	0	0	0	0	44	0	0	0	1878	990	0	1299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	864	1651	0	1704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1417	1387	0	1701
ASV_00017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	6131	23	3592	0	3554	1071	42	365	38	0	7	0	7856	0	3990	0	0	0	122	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	736	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	16	37	19	52	6	0	7	0	0	0	0	4900	8	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00018	0	0	0	0	0	0	0	0	0	0	651	818	0	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	13	0	34	0	1109	652	0	1520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	1360	979	0	891	596	526	0	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1775	1887	0	1371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716	571	0	731	0	0	0	0	0	0	0	0	0	0	33	0	0	0	2102	1977	0	2231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	536	0	964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2612	1924	0	1570
ASV_00019	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	35	1700	0	0	0	0	12	0	0	0	0	0	0	0	0	0	23	23	16	16	0	0	0	0	0	0	0	0	0	0	17	28	5	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	275	0	6138	45	200	3702	19	0	0	0	0	0	39	12	0	7	13	8	0	5	19	35	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16047	1770	12	0	8	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00020	0	0	0	0	0	0	0	0	0	0	0	0	30	0	123	65	192	102	187	29	55	85	82	82	125	60	62	56	213	135	103	168	297	50	723	442	54	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	1600	1650	74	1951	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	135	0	0	11	60	23	66	736	1373	417	904	312	376	679	256	380	1263	1190	51	1589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	33	50	65	66	0	0	0	105	0	245	45	49	1709	64	54	477	0	0	0	89	0	0	0	0	32	0	254	455	37	543	143	107	0	346	76	76	270	63	85	71	0	0	0	195	0	31	88	0	0	0	1176	2148	25	1006
